RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Good,78,227,5,92,28,0,0,100,125,7,7,43,4,57,5,2,2,49,79.0,3,2,2,63,0.14903129657228018,False,False,65.0,27
Good,77,101,13,63,31,0,0,100,125,7,7,32,0,9,0,1,1,36,3.0,2,2,1,40,0.14903129657228018,False,False,97.0,12
Bad,81,131,16,59,19,1,0,90,15,7,5,20,0,30,0,0,0,3,,1,1,0,25,0.14903129657228018,True,False,95.0,5
Good,73,280,8,104,49,0,0,96,60,7,6,52,1,23,2,2,2,51,91.0,4,2,1,43,0.14903129657228018,True,False,94.0,22
Bad,68,220,9,69,27,0,0,100,125,7,7,27,3,44,0,2,2,95,59.0,4,4,2,100,0.14903129657228018,False,False,100.0,27
Bad,62,322,1,40,16,1,0,94,23,7,5,28,5,44,36,4,4,31,84.0,7,4,1,85,0.14903129657228018,True,False,57.0,23
Bad,73,211,5,71,38,0,0,98,42,7,6,43,5,49,0,1,1,33,100.0,4,4,0,57,0.14903129657228018,True,False,88.0,24
Good,84,133,1,77,28,0,0,100,125,7,7,32,3,38,36,2,2,32,76.0,1,2,0,60,0.14903129657228018,False,False,88.0,19
Bad,65,245,28,143,56,1,1,95,7,3,3,59,0,15,0,1,1,59,37.0,26,4,9,83,0.628930817610063,True,True,95.0,48
Bad,68,89,9,40,10,2,2,91,81,7,2,11,1,45,0,0,0,48,86.0,3,4,1,88,0.14903129657228018,True,False,91.0,9
Good,79,108,4,58,26,0,0,100,125,7,7,26,1,12,0,7,7,5,,2,1,0,38,0.14903129657228018,False,False,100.0,9
Bad,70,210,20,27,4,0,0,100,125,7,7,51,0,50,36,1,1,102,97.0,2,2,1,100,0.14903129657228018,False,False,8.0,51
Bad,55,222,2,67,14,0,0,94,2,6,6,17,2,59,0,4,4,25,79.0,2,2,1,67,0.628930817610063,True,True,82.0,11
Good,84,137,0,73,49,0,0,100,125,7,7,51,2,25,0,1,1,1,,1,2,0,17,0.14903129657228018,False,False,96.0,8
Bad,67,69,3,43,6,3,1,50,10,6,4,10,1,60,0,5,3,27,101.0,1,2,0,60,0.628930817610063,True,True,60.0,6
Bad,69,114,16,54,21,0,0,100,125,7,7,21,0,48,0,4,4,57,80.0,8,3,2,92,0.14903129657228018,False,False,100.0,19
Good,80,306,1,86,33,0,0,97,49,7,6,37,4,27,0,2,2,1,,5,1,1,35,0.14903129657228018,True,False,89.0,12
Bad,70,108,2,51,45,0,0,98,10,6,6,49,7,65,7,0,0,23,82.0,2,3,0,50,0.628930817610063,True,True,92.0,24
Bad,72,103,2,55,3,1,1,80,61,7,4,5,2,60,0,3,3,56,,1,2,0,50,0.14903129657228018,True,False,60.0,2
Bad,59,180,4,60,49,0,0,98,20,7,6,49,6,37,2,3,3,45,70.0,10,4,2,82,0.14903129657228018,True,False,100.0,40
Bad,72,63,3,38,5,0,0,100,125,7,7,5,1,0,0,3,3,85,,4,2,1,100,0.14903129657228018,False,False,100.0,5
Good,76,38,8,21,4,0,0,100,125,7,7,4,1,50,0,1,1,0,45.0,0,2,0,67,0.14903129657228018,False,False,100.0,2
Bad,60,172,5,59,9,1,1,62,2,6,4,13,1,69,4,1,1,13,64.0,2,3,0,83,0.628930817610063,True,True,69.0,10
Bad,65,143,7,85,13,0,0,93,11,6,6,14,2,43,0,0,0,73,76.0,3,3,2,100,0.628930817610063,True,True,93.0,14
Good,75,175,2,61,35,0,0,100,125,7,7,38,7,34,2,2,2,16,83.0,3,2,2,33,0.14903129657228018,False,False,92.0,12
Good,65,165,3,53,27,2,1,86,61,7,4,35,5,41,36,6,6,31,60.0,6,3,1,69,0.14903129657228018,True,False,77.0,24
Bad,64,260,1,61,17,1,1,95,6,4,4,23,5,26,36,0,0,68,88.0,3,2,1,71,0.628930817610063,True,True,74.0,16
Bad,70,153,22,112,5,2,2,67,56,7,4,6,0,67,0,0,0,0,,0,1,0,50,0.14903129657228018,True,False,83.0,3
Bad,74,42,10,27,8,0,0,100,125,7,7,8,2,25,23,1,0,41,76.0,2,2,1,57,0.14903129657228018,False,False,100.0,4
Good,80,93,2,34,13,0,0,100,125,7,7,15,3,40,7,0,0,6,84.0,3,3,0,67,0.14903129657228018,False,False,87.0,10
Good,77,126,1,53,31,0,0,100,125,7,7,33,3,24,11,0,0,2,59.0,3,2,0,56,0.14903129657228018,False,False,94.0,18
Bad,68,377,10,81,16,1,0,90,58,7,5,21,3,29,0,2,1,54,35.0,8,2,1,85,0.14903129657228018,True,False,76.0,17
Good,83,401,18,109,14,0,0,100,125,7,7,14,0,29,0,0,0,16,78.0,4,2,1,67,0.14903129657228018,False,False,100.0,9
Good,60,189,3,80,42,0,0,95,30,7,6,42,5,33,3,1,1,60,76.0,15,11,5,84,0.14903129657228018,True,False,100.0,35
Bad,61,271,9,86,26,0,0,89,3,6,6,27,1,56,0,1,1,57,67.0,6,5,2,92,0.628930817610063,True,True,96.0,24
Bad,72,174,3,55,21,0,0,95,65,7,6,22,3,36,36,5,5,17,98.0,3,2,1,56,0.14903129657228018,True,False,95.0,12
Good,91,166,35,121,10,0,0,100,125,7,7,10,0,40,0,0,0,10,38.0,1,3,0,67,0.14903129657228018,False,False,100.0,6
Bad,75,212,3,31,12,0,0,92,16,7,6,23,3,42,2,1,1,15,97.0,3,2,0,83,0.14903129657228018,True,False,52.0,19
Bad,91,447,24,110,27,0,0,100,125,7,7,27,0,15,22,0,0,2,,3,1,0,33,0.14903129657228018,False,False,100.0,8
Good,76,102,24,46,7,0,0,100,125,7,7,7,0,100,23,0,0,27,24.0,3,3,0,100,0.14903129657228018,False,False,100.0,7
Bad,79,138,16,71,19,0,0,95,125,7,6,19,0,42,0,0,0,17,92.0,2,3,1,71,0.14903129657228018,True,False,100.0,13
Bad,69,80,9,39,9,0,0,100,125,7,7,9,1,11,0,1,1,42,,5,1,2,75,0.14903129657228018,False,False,100.0,6
Good,86,174,3,77,22,0,0,95,46,7,6,22,1,23,2,2,2,2,99.0,1,2,0,50,0.14903129657228018,True,False,100.0,11
Good,72,228,1,69,15,0,0,100,125,7,7,16,2,38,0,2,2,63,70.0,5,2,2,78,0.14903129657228018,False,False,94.0,12
Bad,63,259,15,94,16,0,0,81,1,6,6,32,0,44,1,2,2,62,50.0,4,2,2,86,0.628930817610063,True,True,50.0,27
Good,87,213,2,71,40,0,0,100,125,7,7,43,5,40,4,1,1,2,95.0,5,2,0,47,0.14903129657228018,False,False,93.0,20
Good,91,364,1,118,12,0,0,100,125,7,7,13,1,8,0,1,1,0,,1,2,0,20,0.14903129657228018,False,False,92.0,2
Bad,67,166,17,65,14,0,0,100,125,7,7,14,0,36,36,1,1,66,58.0,7,4,3,92,0.14903129657228018,False,False,100.0,12
Good,86,141,2,64,14,0,0,100,125,7,7,18,3,72,2,3,3,0,90.0,0,3,0,60,0.14903129657228018,False,False,78.0,10
Good,78,267,22,173,13,0,0,92,72,7,6,14,0,8,36,0,0,71,,2,1,1,50,0.14903129657228018,True,False,93.0,7
Good,78,311,4,134,17,1,1,89,77,7,2,20,1,11,36,1,1,1,,3,2,0,56,0.14903129657228018,True,False,85.0,11
Good,73,123,9,68,41,2,2,95,59,7,4,43,1,56,0,1,1,37,115.0,4,19,1,77,0.14903129657228018,True,False,95.0,33
Bad,68,299,6,135,24,0,0,96,25,7,6,25,1,29,5,0,0,55,77.0,8,2,2,71,0.14903129657228018,True,False,96.0,17
Good,80,319,8,81,31,1,0,97,37,7,5,34,4,31,9,0,0,6,52.0,4,3,0,47,0.14903129657228018,True,False,91.0,15
Bad,74,151,10,58,24,0,0,96,80,7,6,24,2,33,0,0,0,55,62.0,4,2,2,58,0.14903129657228018,True,False,100.0,13
Bad,56,70,6,31,28,0,0,96,43,7,6,29,7,25,36,2,2,71,,8,1,4,56,0.14903129657228018,True,False,97.0,16
Bad,66,188,3,80,17,0,0,88,4,6,6,17,3,82,1,3,3,6,95.0,1,7,0,89,0.628930817610063,True,True,100.0,15
Good,81,243,1,89,41,0,0,100,125,7,7,44,9,27,0,7,6,1,39.0,7,4,0,50,0.14903129657228018,False,False,93.0,22
Good,64,104,3,61,38,0,0,100,125,7,7,38,1,29,0,0,0,74,98.0,10,4,6,88,0.14903129657228018,False,False,100.0,33
Good,80,145,2,80,25,0,0,92,50,7,6,26,3,50,3,1,1,2,85.0,2,3,0,56,0.14903129657228018,True,False,96.0,14
Bad,73,136,18,63,36,0,0,100,125,7,7,36,0,19,36,0,0,38,,14,1,3,79,0.14903129657228018,False,False,100.0,28
Good,69,176,13,84,34,0,0,97,14,7,6,34,0,56,0,1,1,52,73.0,7,6,2,81,0.14903129657228018,True,False,100.0,27
Good,56,243,4,42,31,0,0,100,125,7,7,61,5,35,36,4,4,91,57.0,10,3,5,93,0.14903129657228018,False,False,51.0,56
Bad,66,119,1,47,14,0,0,100,125,7,7,16,6,38,0,3,3,74,100.0,5,1,2,86,0.14903129657228018,False,False,88.0,13
Bad,69,187,2,88,11,0,0,100,125,7,7,15,2,53,0,2,2,86,,4,1,3,100,0.14903129657228018,False,False,73.0,15
Good,85,149,8,63,15,0,0,100,125,7,7,15,1,40,0,2,2,5,32.0,1,3,0,44,0.14903129657228018,False,False,100.0,6
Good,72,255,2,92,41,0,0,98,11,7,6,42,1,17,0,3,3,9,,9,2,1,53,0.14903129657228018,True,False,98.0,22
Bad,64,287,3,68,28,0,0,93,77,7,6,29,6,24,0,5,5,37,90.0,8,2,1,67,0.14903129657228018,True,False,97.0,19
Bad,66,256,7,156,42,1,1,80,22,7,4,46,2,43,36,1,1,36,61.0,4,4,2,48,0.14903129657228018,True,False,91.0,22
Bad,70,118,2,46,27,0,0,93,24,7,6,29,4,69,2,5,5,13,84.0,3,4,1,70,0.14903129657228018,True,False,93.0,20
Bad,68,259,9,88,21,4,1,77,15,7,3,26,1,38,0,18,18,27,80.0,2,3,1,56,0.14903129657228018,True,False,81.0,14
Good,86,349,5,120,33,0,0,97,19,7,6,35,1,34,0,0,0,7,,4,2,0,50,0.14903129657228018,True,False,94.0,17
Good,85,246,56,166,6,0,0,100,125,7,7,6,0,17,0,2,2,0,,1,2,0,33,0.14903129657228018,False,False,100.0,1
Good,69,192,1,67,34,0,0,100,125,7,7,36,5,42,0,3,3,42,76.0,4,5,1,79,0.14903129657228018,False,False,94.0,28
Bad,64,119,10,52,21,1,0,95,9,5,5,22,3,55,36,0,0,68,67.0,4,4,3,90,0.628930817610063,True,True,95.0,19
Bad,79,233,3,83,47,0,0,100,125,7,7,68,3,28,0,8,8,33,91.0,6,6,2,63,0.14903129657228018,False,False,69.0,42
Good,80,390,3,86,29,0,0,100,125,7,7,29,4,24,9,0,0,6,74.0,4,3,0,44,0.14903129657228018,False,False,100.0,12
Bad,74,119,11,39,4,0,0,100,125,7,7,4,1,75,0,0,0,64,75.0,1,2,0,100,0.14903129657228018,False,False,100.0,4
Good,79,300,23,87,29,0,0,80,12,7,6,30,0,47,0,0,0,0,,0,1,0,25,0.14903129657228018,True,False,97.0,7
Bad,65,75,1,36,9,2,2,75,38,7,4,12,2,58,4,1,1,33,46.0,2,3,1,100,0.14903129657228018,True,False,75.0,12
Bad,83,113,25,62,15,0,0,100,125,7,7,15,0,40,0,0,0,35,52.0,3,3,0,60,0.14903129657228018,False,False,100.0,9
Bad,77,235,3,75,21,0,0,100,125,7,7,21,2,29,36,1,1,36,,3,2,0,67,0.14903129657228018,False,False,100.0,14
Bad,72,149,14,52,22,1,1,95,19,7,6,23,0,68,0,0,0,28,91.0,5,4,0,100,0.14903129657228018,True,False,96.0,23
Bad,73,124,1,31,9,0,0,91,78,7,6,11,5,45,0,2,2,10,94.0,2,2,0,67,0.14903129657228018,True,False,82.0,7
Bad,70,83,3,40,26,4,2,80,10,6,4,30,3,33,36,0,0,3,89.0,2,4,0,58,0.628930817610063,True,True,87.0,17
Good,84,227,19,104,26,0,0,96,64,7,6,27,0,15,36,0,0,32,,4,1,0,56,0.14903129657228018,True,False,96.0,15
Bad,59,134,17,83,8,2,0,42,1,6,5,12,0,67,0,3,3,77,,1,1,1,100,0.628930817610063,True,True,67.0,12
Good,88,286,76,133,4,0,0,100,125,7,7,5,0,60,0,0,0,9,,1,2,0,100,0.14903129657228018,False,False,80.0,5
Bad,61,231,1,80,29,1,1,97,19,7,4,31,4,42,0,6,5,51,81.0,7,5,3,63,0.14903129657228018,True,False,94.0,19
Good,89,317,48,155,9,0,0,100,125,7,7,10,0,20,0,0,0,6,,4,2,0,80,0.14903129657228018,False,False,90.0,8
Good,91,240,22,118,8,0,0,100,125,7,7,8,0,0,0,0,0,5,,3,2,0,50,0.14903129657228018,False,False,100.0,4
Bad,75,112,3,59,23,0,0,96,14,7,6,35,3,9,1,2,2,13,,4,1,0,50,0.14903129657228018,True,False,66.0,17
