,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance,RiskPerformance
440,61,183,26,111,3,1,1,60,7,6,2,5,0,20,36,1,1,94,,1,1,0,100,0.628930817610063,True,True,60.0,5,Good
659,56,201,12,67,25,2,1,85,0,2,5,26,0,31,12,0,0,16,77.0,3,4,1,58,0.628930817610063,True,True,96.0,15,Bad
321,81,58,34,49,5,0,0,100,125,7,7,5,0,80,0,0,0,14,60.0,1,2,0,100,0.14903129657228018,False,False,100.0,5,Good
638,71,235,4,71,32,1,1,94,83,7,2,33,6,27,0,0,0,49,92.0,9,3,1,80,0.14903129657228018,True,False,97.0,26,Good
87,88,286,76,133,4,0,0,100,125,7,7,5,0,60,0,0,0,9,,1,2,0,100,0.14903129657228018,False,False,80.0,5,Good
586,77,281,9,90,37,0,0,100,125,7,7,37,1,38,0,1,1,34,53.0,3,4,1,62,0.14903129657228018,False,False,100.0,22,Bad
289,78,185,12,63,13,0,0,100,125,7,7,13,0,31,0,0,0,45,,8,1,2,100,0.14903129657228018,False,False,100.0,13,Good
372,81,119,8,54,22,0,0,100,125,7,7,25,3,36,0,3,3,28,92.0,2,2,0,67,0.14903129657228018,False,False,88.0,16,Bad
472,86,189,2,76,19,0,0,100,125,7,7,24,3,58,36,0,0,5,100.0,4,3,0,78,0.14903129657228018,False,False,79.0,18,Good
412,55,174,19,86,9,1,0,70,2,5,5,10,0,20,0,0,0,50,75.0,3,1,3,57,0.628930817610063,True,True,90.0,5,Bad
183,62,58,3,18,4,0,0,100,125,7,7,4,3,25,2,6,6,99,97.0,3,1,1,100,0.14903129657228018,False,False,100.0,4,Bad
813,40,166,3,100,12,11,7,48,1,2,2,23,1,17,3,5,5,72,,11,1,3,87,0.628930817610063,True,True,52.0,20,Bad
294,71,200,8,74,35,0,0,97,38,7,6,39,3,56,0,0,0,82,92.0,4,6,3,91,0.14903129657228018,True,False,90.0,35,Bad
817,73,181,3,59,22,0,0,100,125,7,7,22,2,41,0,0,0,56,54.0,6,5,1,79,0.14903129657228018,False,False,100.0,17,Bad
388,65,176,3,101,34,0,0,92,14,7,6,36,1,28,0,3,3,87,0.0,9,3,6,92,0.14903129657228018,True,False,94.0,33,Bad
96,77,206,11,90,15,0,0,100,125,7,7,20,1,27,10,0,0,38,,3,1,1,67,0.14903129657228018,False,False,75.0,13,Good
265,83,217,1,73,34,0,0,100,125,7,7,39,2,21,1,1,1,7,48.0,6,2,1,57,0.14903129657228018,False,False,87.0,22,Good
