RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,delinquency,TotalNetFraction,NumInstallment,TradeFrequency
Good,78,227,5,92,28,0,100,7,8,43,4,57,5.0,2,49,79,3,2,2,63,0.2145922746781116,0.0,128,2.0,0.09302325581395349
Good,77,101,13,63,31,0,100,7,8,32,0,9,0.0,1,36,3,2,2,1,40,0.2145922746781116,0.0,39,2.0,0.0
Bad,81,131,16,59,19,0,90,6,5,20,0,30,0.0,0,3,46,1,1,0,25,1.0752688172043012,48.69999999999999,49,1.0,0.0
Good,73,280,8,104,49,0,96,6,6,52,1,23,2.0,2,51,91,4,2,1,43,0.398406374501992,19.480000000000018,142,2.0,0.019230769230769232
Bad,68,220,9,69,27,0,100,7,8,27,3,44,0.0,2,95,59,4,4,2,100,0.2145922746781116,0.0,154,4.0,0.1111111111111111
Bad,62,322,1,40,16,0,94,6,5,28,5,44,,4,31,84,7,4,1,85,1.0752688172043012,29.21999999999997,115,4.0,0.17857142857142858
Bad,73,211,5,71,38,0,98,6,6,43,5,49,0.0,1,33,100,4,4,0,57,0.398406374501992,9.740000000000009,133,4.0,0.11627906976744186
Good,84,133,1,77,28,0,100,6,7,32,3,38,,2,32,76,1,2,0,60,6.666666666666667,0.0,108,2.0,0.09375
Bad,67,25,22,24,3,4,100,6,8,3,0,67,0.0,2,18,91,1,2,0,100,0.2145922746781116,0.0,109,2.0,1.3333333333333333
Good,68,108,5,60,13,1,100,6,8,14,1,50,5.0,0,78,46,2,2,1,100,0.2145922746781116,0.0,124,2.0,0.14285714285714285
Bad,60,280,18,122,22,0,91,4,6,23,0,35,0.0,0,34,64,6,2,3,80,0.398406374501992,43.829999999999984,98,2.0,0.0
Bad,65,245,28,143,56,1,95,1,3,59,0,15,0.0,1,59,37,26,4,9,83,3.571428571428571,24.349999999999966,96,4.0,0.01694915254237288
Bad,68,89,9,40,10,2,91,6,2,11,1,45,0.0,0,48,86,3,4,1,88,1.36986301369863,43.829999999999984,134,4.0,0.2727272727272727
Good,79,108,4,58,26,0,100,7,8,26,1,12,0.0,7,5,46,2,1,0,38,0.2145922746781116,0.0,51,1.0,0.038461538461538464
Bad,70,210,20,27,4,0,100,7,8,51,0,50,,1,102,97,2,2,1,100,0.2145922746781116,0.0,199,2.0,0.0
Bad,55,222,2,67,14,0,94,4,6,17,2,59,0.0,4,25,79,2,2,1,67,0.398406374501992,29.21999999999997,104,2.0,0.11764705882352941
Good,84,137,0,73,49,0,100,7,8,51,2,25,0.0,1,1,46,1,2,0,17,0.2145922746781116,0.0,47,2.0,0.0392156862745098
Bad,67,69,3,43,6,1,50,4,4,10,1,60,0.0,5,27,101,1,2,0,60,3.7037037037037033,243.5,128,2.0,0.2
Bad,69,114,16,54,21,0,100,7,8,21,0,48,0.0,4,57,80,8,3,2,92,0.2145922746781116,0.0,137,3.0,0.0
Good,80,306,1,86,33,0,97,6,6,37,4,27,0.0,2,1,46,5,1,1,35,0.398406374501992,14.610000000000014,47,1.0,0.10810810810810811
Good,72,111,111,111,1,0,0,6,5,2,0,0,0.0,0,27,46,3,2,0,100,1.0752688172043012,487.0,73,2.0,0.0
Bad,70,108,2,51,45,0,98,4,6,49,7,65,7.0,0,23,82,2,3,0,50,0.398406374501992,9.740000000000009,105,3.0,0.14285714285714285
Bad,72,103,2,55,3,1,80,6,4,5,2,60,0.0,3,56,46,1,2,0,50,3.7037037037037033,97.39999999999998,102,2.0,0.6000000000000001
Bad,59,180,4,60,49,0,98,6,6,49,6,37,2.0,3,45,70,10,4,2,82,0.398406374501992,9.740000000000009,115,4.0,0.12244897959183673
Bad,62,191,8,92,30,0,85,4,6,28,3,62,9.0,0,53,61,4,8,3,87,0.398406374501992,73.05000000000001,114,8.0,0.10714285714285714
Bad,72,63,3,38,5,0,100,7,8,5,1,0,0.0,3,85,46,4,2,1,100,0.2145922746781116,0.0,131,2.0,0.2
Good,76,38,8,21,4,0,100,7,8,4,1,50,0.0,1,0,45,0,2,0,67,0.2145922746781116,0.0,45,2.0,0.25
Bad,60,172,5,59,9,1,62,4,4,13,1,69,4.0,1,13,64,2,3,0,83,3.7037037037037033,185.06,77,3.0,0.15384615384615385
Bad,65,143,7,85,13,0,93,4,6,14,2,43,0.0,0,73,76,3,3,2,100,0.398406374501992,34.089999999999975,149,3.0,0.14285714285714285
Good,75,175,2,61,35,0,100,7,8,38,7,34,2.0,2,16,83,3,2,2,33,0.2145922746781116,0.0,99,2.0,0.18421052631578946
Good,65,165,3,53,27,1,86,6,4,35,5,41,,6,31,60,6,3,1,69,3.7037037037037033,68.18,91,3.0,0.17142857142857143
Bad,64,260,1,61,17,1,95,2,4,23,5,26,,0,68,88,3,2,1,71,3.7037037037037033,24.349999999999966,156,2.0,0.2608695652173913
Bad,70,153,22,112,5,2,67,6,4,6,0,67,0.0,0,0,46,0,1,0,50,3.7037037037037033,160.70999999999998,46,1.0,0.3333333333333333
Bad,74,42,10,27,8,0,100,7,8,8,2,25,23.0,1,41,76,2,2,1,57,0.2145922746781116,0.0,117,2.0,0.25
Good,80,93,2,34,13,0,100,7,8,15,3,40,7.0,0,6,84,3,3,0,67,0.2145922746781116,0.0,90,3.0,0.2
Good,77,126,1,53,31,0,100,7,8,33,3,24,11.0,0,2,59,3,2,0,56,0.2145922746781116,0.0,61,2.0,0.09090909090909091
Bad,68,377,10,81,16,0,90,6,5,21,3,29,0.0,2,54,35,8,2,1,85,1.0752688172043012,48.69999999999999,89,2.0,0.14285714285714285
Good,83,401,18,109,14,0,100,7,8,14,0,29,0.0,0,16,78,4,2,1,67,0.2145922746781116,0.0,94,2.0,0.0
Good,60,189,3,80,42,0,95,6,6,42,5,33,3.0,1,60,76,15,11,5,84,0.398406374501992,24.349999999999966,136,11.0,0.11904761904761904
Bad,61,271,9,86,26,0,89,4,6,27,1,56,0.0,1,57,67,6,5,2,92,0.398406374501992,53.56999999999999,124,5.0,0.037037037037037035
Bad,72,174,3,55,21,0,95,6,6,22,3,36,,5,17,98,3,2,1,56,0.398406374501992,24.349999999999966,115,1.9999999999999998,0.13636363636363635
Good,91,166,35,121,10,0,100,7,8,10,0,40,0.0,0,10,38,1,3,0,67,0.2145922746781116,0.0,48,3.0,0.0
Good,65,266,5,92,32,0,94,6,6,29,1,6,0.0,1,49,46,16,1,8,77,0.398406374501992,29.21999999999997,95,1.0,0.034482758620689655
Bad,75,212,3,31,12,0,92,6,6,23,3,42,2.0,1,15,97,3,2,0,83,0.398406374501992,38.95999999999998,112,2.0,0.13043478260869565
Bad,91,447,24,110,27,0,100,7,8,27,0,15,22.0,0,2,46,3,1,0,33,0.2145922746781116,0.0,48,1.0,0.0
Good,76,102,24,46,7,0,100,7,8,7,0,100,23.0,0,27,24,3,3,0,100,0.2145922746781116,0.0,51,3.0,0.0
Bad,79,138,16,71,19,0,95,6,6,19,0,42,0.0,0,17,92,2,3,1,71,0.398406374501992,24.349999999999966,109,3.0,0.0
Bad,69,80,9,39,9,0,100,7,8,9,1,11,0.0,1,42,46,5,1,2,75,0.2145922746781116,0.0,88,1.0,0.1111111111111111
Good,86,174,3,77,22,0,95,6,6,22,1,23,2.0,2,2,99,1,2,0,50,0.398406374501992,24.349999999999966,101,2.0,0.045454545454545456
Bad,80,40,40,40,1,0,100,7,8,1,0,0,0.0,0,27,46,1,2,0,100,0.2145922746781116,0.0,73,2.0,0.0
Good,72,228,1,69,15,0,100,7,8,16,2,38,0.0,2,63,70,5,2,2,78,0.2145922746781116,0.0,133,2.0,0.125
Bad,73,133,0,58,2,1,100,6,7,3,4,20,,9,18,46,3,2,0,75,6.666666666666667,0.0,64,2.0,1.6666666666666665
Good,75,188,6,68,30,0,100,7,8,26,2,39,,1,22,74,7,6,2,68,0.2145922746781116,0.0,96,6.0,0.07692307692307693
Good,69,209,5,105,40,0,90,6,6,6,6,24,,2,36,87,7,2,2,63,0.398406374501992,48.69999999999999,123,2.0,1.0
Bad,63,259,15,94,16,0,81,4,6,32,0,44,1.0,2,62,50,4,2,2,86,0.398406374501992,92.52999999999997,112,2.0,0.0
Bad,65,267,0,101,5,1,100,7,8,8,3,57,0.0,2,0,92,0,2,0,67,0.2145922746781116,0.0,92,2.0,0.5
Good,87,213,2,71,40,0,100,6,7,43,5,40,4.0,1,2,95,5,2,0,47,6.666666666666667,0.0,97,2.0,0.11627906976744186
Good,91,364,1,118,12,0,100,7,8,13,1,8,0.0,1,0,46,1,2,0,20,0.2145922746781116,0.0,46,2.0,0.07692307692307693
Bad,67,166,17,65,14,0,100,7,8,14,0,36,,1,66,58,7,4,3,92,0.2145922746781116,0.0,124,4.0,0.0
Good,86,141,2,64,14,0,100,7,8,18,3,72,2.0,3,0,90,0,3,0,60,0.2145922746781116,0.0,90,3.0,0.16666666666666666
Good,78,267,22,173,13,0,92,6,6,14,0,8,,0,71,46,2,1,1,50,0.398406374501992,38.95999999999998,117,1.0,0.0
Good,78,311,4,134,17,1,89,6,2,20,1,11,,1,1,46,3,2,0,56,1.36986301369863,53.56999999999999,47,2.0,0.1
Good,73,123,9,68,41,2,95,6,4,43,1,56,0.0,1,37,115,4,19,1,77,3.7037037037037033,24.349999999999966,152,19.0,0.06976744186046512
Bad,68,299,6,135,24,0,96,6,6,25,1,29,5.0,0,55,77,8,2,2,71,0.398406374501992,19.480000000000018,132,2.0,0.04
Good,80,319,8,81,31,0,97,6,5,34,4,31,9.0,0,6,52,4,3,0,47,1.0752688172043012,14.610000000000014,58,3.0,0.11764705882352941
Bad,74,151,10,58,24,0,96,6,6,24,2,33,0.0,0,55,62,4,2,2,58,0.398406374501992,19.480000000000018,117,2.0,0.08333333333333333
Bad,56,70,6,31,28,0,96,6,6,29,7,25,,2,71,46,8,1,4,56,0.398406374501992,19.480000000000018,117,1.0,0.2413793103448276
Bad,66,188,3,80,17,0,88,4,6,17,3,82,1.0,3,6,95,1,7,0,89,0.398406374501992,58.44,101,6.999999999999999,0.17647058823529413
Good,81,243,1,89,41,0,100,7,8,44,9,27,0.0,7,1,39,7,4,0,50,0.2145922746781116,0.0,40,4.0,0.20454545454545456
Good,64,104,3,61,38,0,100,7,8,38,1,29,0.0,0,74,98,10,4,6,88,0.2145922746781116,0.0,172,3.9999999999999996,0.02631578947368421
Good,80,145,2,80,25,0,92,6,6,26,3,50,3.0,1,2,85,2,3,0,56,0.398406374501992,38.95999999999998,87,3.0,0.11538461538461539
Bad,73,136,18,63,36,0,100,7,8,36,0,19,,0,38,46,14,1,3,79,0.2145922746781116,0.0,84,1.0,0.0
Bad,65,138,5,68,35,0,97,5,7,36,2,53,0.0,0,76,78,12,4,2,100,6.666666666666667,14.610000000000014,154,4.0,0.05555555555555555
Good,69,176,13,84,34,0,97,6,6,34,0,56,0.0,1,52,73,7,6,2,81,0.398406374501992,14.610000000000014,125,6.0,0.0
Good,56,243,4,42,31,0,100,7,8,61,5,35,,4,91,57,10,3,5,93,0.2145922746781116,0.0,148,3.0,0.08196721311475409
Bad,66,119,1,47,14,0,100,7,8,16,6,38,0.0,3,74,100,5,1,2,86,0.2145922746781116,0.0,174,1.0,0.375
Bad,69,187,2,88,11,0,100,7,8,15,2,53,0.0,2,86,46,4,1,3,100,0.2145922746781116,0.0,132,1.0,0.13333333333333333
Good,85,149,8,63,15,0,100,7,8,15,1,40,0.0,2,5,32,1,3,0,44,0.2145922746781116,0.0,37,3.0,0.06666666666666667
Good,80,104,10,93,36,0,97,6,6,6,1,23,8.0,0,18,46,3,3,0,46,0.398406374501992,14.610000000000014,64,3.0,0.16666666666666666
Good,72,255,2,92,41,0,98,6,6,42,1,17,0.0,3,9,46,9,2,1,53,0.398406374501992,9.740000000000009,55,2.0,0.023809523809523808
Bad,64,287,3,68,28,0,93,6,6,29,6,24,0.0,5,37,90,8,2,1,67,0.398406374501992,34.089999999999975,127,2.0,0.20689655172413793
Bad,66,256,7,156,42,1,80,5,4,46,2,43,,1,36,61,4,4,2,48,3.7037037037037033,97.39999999999998,97,4.0,0.06521739130434782
Bad,70,118,2,46,27,0,93,5,6,29,4,69,2.0,5,13,84,3,4,1,70,0.398406374501992,34.089999999999975,97,4.0,0.13793103448275862
Bad,68,259,9,88,21,1,77,6,3,26,1,38,0.0,18,27,80,2,3,1,56,3.571428571428571,112.00999999999999,107,3.0,0.07692307692307693
Good,86,349,5,120,33,0,97,6,6,35,1,34,0.0,0,7,46,4,2,0,50,0.398406374501992,14.610000000000014,53,2.0,0.02857142857142857
Good,85,246,56,166,6,0,100,7,8,6,0,17,0.0,2,0,46,1,2,0,33,0.2145922746781116,0.0,46,2.0,0.0
Good,69,192,1,67,34,0,100,7,8,36,5,42,0.0,3,42,76,4,5,1,79,0.2145922746781116,0.0,118,5.0,0.1388888888888889
Bad,73,94,5,37,34,0,97,6,6,21,4,29,4.0,1,9,85,6,3,0,47,0.398406374501992,14.610000000000014,94,3.0,0.19047619047619047
Good,73,285,3,83,35,0,97,6,6,28,7,14,,2,18,93,8,3,1,46,0.398406374501992,14.610000000000014,111,3.0,0.25
Bad,64,119,10,52,21,0,95,3,5,22,3,55,,0,68,67,4,4,3,90,1.0752688172043012,24.349999999999966,135,4.0,0.13636363636363635
Bad,79,233,3,83,47,0,100,7,8,68,3,28,0.0,8,33,91,6,6,2,63,0.2145922746781116,0.0,124,6.0,0.04411764705882353
Good,80,390,3,86,29,0,100,7,8,29,4,24,9.0,0,6,74,4,3,0,44,0.2145922746781116,0.0,80,3.0,0.13793103448275862
Bad,74,119,11,39,4,0,100,7,8,4,1,75,0.0,0,64,75,1,2,0,100,0.2145922746781116,0.0,139,2.0,0.25
Good,79,300,23,87,29,0,80,6,6,30,0,47,0.0,0,0,46,0,1,0,25,0.398406374501992,97.39999999999998,46,1.0,0.0
Bad,65,75,1,36,9,2,75,6,4,12,2,58,4.0,1,33,46,2,3,1,100,3.7037037037037033,121.75,79,3.0,0.3333333333333333
Bad,60,97,14,76,18,0,78,4,6,7,0,33,0.0,0,97,10,2,2,2,100,0.398406374501992,107.13999999999999,107,2.0,0.0
Good,66,99,2,98,16,2,88,6,6,6,2,35,0.0,3,20,46,2,1,0,43,0.398406374501992,58.44,66,1.0,0.6666666666666666
Bad,83,113,25,62,15,0,100,7,8,15,0,40,0.0,0,35,52,3,3,0,60,0.2145922746781116,0.0,87,3.0,0.0
Bad,77,235,3,75,21,0,100,7,8,21,2,29,,1,36,46,3,2,0,67,0.2145922746781116,0.0,82,2.0,0.09523809523809523
Bad,72,149,14,52,22,1,95,6,6,23,0,68,0.0,0,28,91,5,4,0,100,0.398406374501992,24.349999999999966,119,4.0,0.043478260869565216
Bad,73,124,1,31,9,0,91,6,6,11,5,45,0.0,2,10,94,2,2,0,67,0.398406374501992,43.829999999999984,104,2.0,0.45454545454545453
Bad,70,83,3,40,26,2,80,4,4,30,3,33,,0,3,89,2,4,0,58,3.7037037037037033,97.39999999999998,92,4.0,0.16666666666666669
Good,84,227,19,104,26,0,96,6,6,27,0,15,,0,32,46,4,1,0,56,0.398406374501992,19.480000000000018,78,1.0,0.0
Bad,59,134,17,83,8,0,42,4,5,12,0,67,0.0,3,77,46,1,1,1,100,1.0752688172043012,282.46000000000004,123,1.0,0.0
Good,88,286,76,133,4,0,100,7,8,5,0,60,0.0,0,9,46,1,2,0,100,0.2145922746781116,0.0,55,2.0,0.0
Bad,61,231,1,80,29,1,97,6,4,31,4,42,0.0,6,51,81,7,5,3,63,3.7037037037037033,14.610000000000014,132,5.0,0.16129032258064516
Bad,62,27,19,22,3,2,100,6,8,3,0,100,2.0,4,27,46,3,1,0,100,0.2145922746781116,0.0,73,1.0,0.6666666666666666
Good,89,317,48,155,9,0,100,7,8,10,0,20,0.0,0,6,46,4,2,0,80,0.2145922746781116,0.0,52,2.0,0.0
Good,91,240,22,118,8,0,100,7,8,8,0,0,0.0,0,5,46,3,2,0,50,0.2145922746781116,0.0,51,2.0,0.0
Bad,75,112,3,59,23,0,96,6,6,35,3,9,1.0,2,13,46,4,1,0,50,0.398406374501992,19.480000000000018,59,1.0,0.08571428571428572
Bad,56,24,1,10,4,1,100,6,8,5,3,20,0.0,20,93,46,2,1,1,75,0.2145922746781116,0.0,139,1.0,0.8
Good,88,179,15,120,11,0,100,7,8,0,0,9,1.0,1,2,46,3,1,0,63,0.2145922746781116,0.0,48,1.0,
Bad,62,144,6,81,4,3,33,6,2,9,1,22,,0,36,59,2,1,0,75,1.36986301369863,326.28999999999996,95,1.0,0.4444444444444444
Bad,63,203,41,111,11,1,69,6,3,13,0,38,0.0,0,93,46,8,2,3,100,3.571428571428571,150.96999999999997,139,2.0,0.07692307692307693
Bad,72,113,10,77,21,5,73,6,2,26,1,15,0.0,2,4,46,2,1,0,60,1.36986301369863,131.49,50,1.0,0.23076923076923078
Good,67,117,5,61,26,0,93,6,6,27,3,15,3.0,1,86,46,5,1,3,67,0.398406374501992,34.089999999999975,132,1.0,0.1111111111111111
Good,77,206,11,90,15,0,100,7,8,20,1,27,10.0,0,38,46,3,1,1,67,0.2145922746781116,0.0,84,1.0,0.05
Bad,67,85,2,40,23,1,100,6,8,24,3,83,,2,82,79,1,9,1,92,0.2145922746781116,0.0,161,9.0,0.16666666666666666
Good,79,180,7,99,26,0,100,7,8,10,2,23,2.0,1,28,34,4,3,1,58,0.2145922746781116,0.0,62,3.0,0.2
Good,84,110,30,67,12,0,100,7,8,13,0,23,0.0,1,4,74,2,2,0,80,0.2145922746781116,0.0,78,2.0,0.0
Good,70,204,6,77,28,0,97,4,6,50,4,23,6.0,0,33,97,3,1,1,42,0.398406374501992,14.610000000000014,130,1.0,0.08
Good,91,148,17,113,13,0,100,7,8,12,0,15,4.0,1,2,46,4,2,0,44,0.2145922746781116,0.0,48,2.0,0.0
Good,83,426,10,142,36,0,100,7,8,37,1,24,3.0,1,9,71,5,2,0,44,0.2145922746781116,0.0,80,2.0,0.02702702702702703
Good,83,282,1,92,37,0,100,7,8,38,2,11,1.0,1,1,67,10,1,0,44,0.2145922746781116,0.0,68,1.0,0.05263157894736842
Bad,68,248,5,45,18,0,94,6,6,13,1,33,,5,64,52,2,3,1,63,0.398406374501992,29.21999999999997,116,3.0,0.07692307692307693
Bad,59,120,7,32,7,1,86,4,6,24,2,57,,1,42,95,1,2,0,100,0.398406374501992,68.18,137,2.0,0.125
Bad,57,81,2,47,13,1,79,6,6,15,1,64,0.0,1,48,19,5,4,0,100,0.398406374501992,102.26999999999998,67,4.0,0.13333333333333333
Bad,80,118,13,74,11,0,100,7,8,11,0,73,0.0,0,25,84,1,2,0,75,0.2145922746781116,0.0,109,2.0,0.0
Bad,73,271,56,148,8,1,88,6,6,8,0,38,0.0,0,0,46,1,2,0,75,0.398406374501992,58.44,46,2.0,0.125
Good,86,324,11,132,8,0,100,7,8,8,1,38,,0,39,46,1,2,0,33,0.2145922746781116,0.0,85,2.0,0.125
Good,65,271,4,92,24,0,92,4,6,24,2,42,0.0,2,31,45,8,3,1,73,0.398406374501992,38.95999999999998,76,3.0,0.08333333333333333
Bad,61,247,4,95,36,0,92,4,6,39,1,59,0.0,1,87,99,8,4,3,93,0.398406374501992,38.95999999999998,186,4.0,0.02564102564102564
Bad,57,26,7,18,5,0,100,7,8,5,1,60,0.0,1,100,46,2,1,2,100,0.2145922746781116,0.0,146,1.0,0.2
Bad,71,179,4,68,32,1,97,6,3,33,5,21,1.0,5,43,45,12,4,3,76,3.571428571428571,14.610000000000014,88,4.0,0.18181818181818182
Good,90,200,5,97,16,0,100,7,8,17,2,41,0.0,1,2,5,2,3,0,71,0.2145922746781116,0.0,7,3.0,0.11764705882352941
Good,85,166,11,81,22,0,100,7,8,22,1,36,0.0,0,0,55,0,2,0,29,0.2145922746781116,0.0,55,2.0,0.045454545454545456
Bad,64,209,10,110,21,1,92,6,5,24,1,42,,3,57,80,4,2,2,100,1.0752688172043012,38.95999999999998,137,2.0,0.08333333333333333
Good,80,173,2,67,35,0,100,7,8,36,1,22,10.0,0,4,100,3,2,0,26,0.2145922746781116,0.0,104,2.0,0.027777777777777776
Good,66,247,7,87,25,0,100,7,8,17,2,20,3.0,1,59,46,7,2,3,75,0.2145922746781116,0.0,105,2.0,0.11764705882352941
Good,78,195,1,38,29,0,100,6,7,38,5,51,0.0,6,10,95,4,13,0,68,6.666666666666667,0.0,105,13.0,0.13157894736842105
Bad,72,126,12,64,15,0,100,5,8,15,0,47,0.0,2,77,69,4,2,2,75,0.2145922746781116,0.0,146,2.0,0.0
Bad,59,220,87,132,10,2,59,4,2,17,0,41,22.0,0,0,46,0,1,0,33,1.36986301369863,199.67000000000002,46,1.0,0.11764705882352941
Bad,68,184,17,69,19,1,100,6,8,19,0,68,5.0,0,0,11,1,2,0,100,0.2145922746781116,0.0,11,2.0,0.05263157894736842
Good,87,241,2,93,17,0,100,7,8,18,4,17,,1,7,46,5,1,1,50,0.2145922746781116,0.0,53,1.0,0.2222222222222222
Good,82,333,3,107,44,0,100,7,8,44,4,34,0.0,1,6,87,6,6,0,60,0.2145922746781116,0.0,93,6.0,0.09090909090909091
Good,87,136,24,86,16,0,100,7,8,6,0,38,0.0,2,0,46,0,1,0,10,0.2145922746781116,0.0,46,1.0,0.0
Good,74,218,9,71,24,0,100,7,8,24,2,38,8.0,0,42,88,7,3,0,77,0.2145922746781116,0.0,130,3.0,0.08333333333333333
Bad,78,282,2,95,23,0,100,7,8,24,1,13,0.0,1,22,46,4,1,1,43,0.2145922746781116,0.0,68,1.0,0.041666666666666664
Good,70,127,11,52,20,0,100,7,8,19,1,50,1.0,11,77,97,1,3,1,57,0.2145922746781116,0.0,174,3.0,0.05263157894736842
Bad,86,129,13,74,17,0,100,7,8,17,0,35,0.0,0,10,46,3,1,0,80,0.2145922746781116,0.0,56,1.0,0.0
Bad,67,100,3,61,19,0,100,7,8,21,1,43,0.0,0,99,82,7,1,5,89,0.2145922746781116,0.0,181,1.0,0.047619047619047616
Good,87,195,70,207,20,0,100,7,8,21,0,29,,0,11,46,2,2,0,50,0.2145922746781116,0.0,57,2.0,0.0
Good,81,213,8,119,30,3,94,6,3,34,1,41,0.0,1,4,21,2,2,0,36,3.571428571428571,29.21999999999997,25,2.0,0.11764705882352941
Good,81,209,12,78,21,0,100,7,8,7,0,18,5.0,1,12,40,6,2,1,62,0.2145922746781116,0.0,52,2.0,0.0
Bad,54,358,9,104,49,0,90,4,6,49,1,78,,2,83,79,7,8,3,88,0.398406374501992,48.69999999999999,162,8.0,0.02040816326530612
Bad,54,316,30,132,8,6,47,3,3,19,0,47,5.0,0,38,60,2,2,0,57,3.571428571428571,258.11,98,2.0,0.3157894736842105
Good,84,179,6,77,18,0,100,7,8,18,3,17,9.0,0,3,46,1,2,0,43,0.2145922746781116,0.0,49,2.0,0.16666666666666666
Good,81,325,9,117,20,0,95,6,5,21,3,52,10.0,0,3,31,2,2,0,63,1.0752688172043012,24.349999999999966,34,2.0,0.14285714285714285
Good,91,225,4,121,12,0,100,7,8,28,2,25,0.0,0,3,46,2,1,0,60,0.2145922746781116,0.0,49,1.0,0.07142857142857142
Bad,79,157,7,75,27,0,100,6,7,29,1,66,1.0,2,24,70,4,4,0,67,6.666666666666667,0.0,94,4.0,0.034482758620689655
Bad,74,204,14,88,51,0,100,7,8,64,0,40,,0,34,53,6,9,1,75,0.2145922746781116,0.0,87,9.0,0.0
Bad,52,296,7,95,43,0,89,4,5,47,1,68,0.0,1,69,44,6,10,3,85,1.0752688172043012,53.56999999999999,113,10.0,0.02127659574468085
Good,88,190,6,65,20,0,100,7,8,21,1,14,5.0,1,0,50,4,2,0,46,0.2145922746781116,0.0,50,2.0,0.047619047619047616
Good,87,393,2,110,20,0,100,7,8,31,1,42,10.0,0,4,46,3,2,0,33,0.2145922746781116,0.0,50,2.0,0.03225806451612903
Bad,64,286,1,72,35,0,100,7,8,36,4,39,3.0,3,73,79,10,5,3,80,0.2145922746781116,0.0,152,5.0,0.1111111111111111
Bad,79,86,9,36,13,0,100,7,8,13,1,8,,0,19,46,6,1,0,70,0.2145922746781116,0.0,65,1.0,0.07692307692307693
Good,82,220,3,59,27,0,100,7,8,27,4,26,0.0,1,7,89,2,3,0,36,0.2145922746781116,0.0,96,3.0,0.14814814814814814
Good,79,158,3,54,23,0,100,7,8,25,2,38,3.0,2,14,130,1,2,0,50,0.2145922746781116,0.0,144,2.0,0.08
